OBS;Ano;TRIMESTRE;MARCA;ORIGEM;OBJETIVO;LL;P1;P2;P3;INVESTIMENTO;LUCRO;ROI
59;2021;T4;Marca3;Origem1;Objetivo1;29134734;56717040;118453218;31303477;322101,3957;406225,3644;1,26117232
60;2021;T4;Marca3;Origem2;Objetivo1;51137768;29854673;111424690;21951165;150856,192;283999,5307;1,882584513
61;2021;T4;Marca3;Origem3;Objetivo1;;;33786382;;46692,98397;49126,12813;1,052109417
62;2021;T4;Marca4;Origem4;Objetivo1;;23365065;;96254926;52231,59448;79730,39051;1,526478204
63;2021;T4;Marca4;Origem5;Objetivo1;;;;150040347;171465,4513;219285,7694;1,278891857
64;2021;T4;Marca4;Origem1;Objetivo1;117622653;6166412;292291032;;374452,6033;479278,4243;1,279944164
65;2021;T4;Marca4;Origem2;Objetivo1;83696597;5687750;294100909;;252897,6079;375656,4639;1,48540932
66;2021;T4;Marca4;Origem6;Objetivo1;;;5317025;;1029,789842;3447,018063;3,347302452
67;2021;T4;Marca5;Origem4;Objetivo1;3659146;;;31046975;85210,89465;104005,3489;1,220563982
68;2021;T4;Marca5;Origem5;Objetivo1;;;28898967;14461934;57467,4363;96181,35769;1,673667104
69;2021;T4;Marca5;Origem1;Objetivo1;84615464;12902929;189388749;;278780,8659;392001,1294;1,406126378
70;2021;T4;Marca5;Origem2;Objetivo1;87089686;21997422;235594047;;201492,3897;381291,1061;1,892335024
71;2021;T4;Marca5;Origem3;Objetivo1;;;59942127;;108919,6573;97900,97887;0,898836641
72;2021;T4;Marca5;Origem6;Objetivo1;;;96712986;;117973,0418;193966,6131;1,64416048
73;2021;T4;Marca6;Origem4;Objetivo1;330764;265212;;937671;1303,826228;3089,625989;2,369660866
74;2021;T4;Marca6;Origem5;Objetivo1;;9665055;;26221333;211276,7006;306398,4897;1,450223753
75;2021;T4;Marca6;Origem1;Objetivo1;5708368;22768377;82125564;;158147,502;479562,5313;3,032374999
76;2021;T4;Marca6;Origem2;Objetivo1;7825910;36924162;105521313;;119354,5096;348995,7595;2,924026588
77;2021;T4;Marca6;Origem7;Objetivo1;;;;16101644;30047,87287;26750,03304;0,890247145
78;2021;T4;Marca6;Origem3;Objetivo1;;;7778688;;16993,95104;29792,6682;1,753133697
79;2021;T4;Marca6;Origem6;Objetivo1;;;36201858;;79426,4507;155400,1594;1,956529066
80;2022;T1;Marca1;Origem4;Objetivo2;;1037745;164189;;784,8332609;1218,772999;1,552906917
81;2022;T1;Marca1;Origem5;Objetivo2;;;7112684;;4435,385321;7148,552678;1,611709504
82;2022;T1;Marca1;Origem1;Objetivo3;34339;;18667214;;13248,25813;9905,316393;0,747669338
83;2022;T1;Marca1;Origem1;Objetivo4;1009922;958095;3422728;;6532,10219;7335,061916;1,122925163
84;2022;T1;Marca1;Origem1;Objetivo5;;;676415;;2023,933145;590,5999849;0,29180805
85;2022;T1;Marca1;Origem1;Objetivo6;266342;306487;32408405;;21020,4046;23698,52391;1,127405697
86;2022;T1;Marca1;Origem2;Objetivo3;230662;;11211913;;7278,136363;8391,520403;1,152976529
87;2022;T1;Marca1;Origem2;Objetivo4;82224;1155;97248;;202,9895455;406,6902417;2,003503386
88;2022;T1;Marca1;Origem2;Objetivo5;;;1302000;;3344,151261;1684,47715;0,503708421
89;2022;T1;Marca1;Origem2;Objetivo6;1114701;409085;64738400;;29202,24676;52044,01203;1,78219205
90;2022;T1;Marca1;Origem3;Objetivo2;;;117788;;102,1769481;477,2293763;4,670616859
91;2022;T1;Marca1;Origem3;Objetivo7;;;1587581;;4892,353126;3920,896914;0,801433751
92;2022;T1;Marca1;Origem3;Objetivo8;;;178678;;177,5669725;803,777785;4,526617613
93;2022;T1;Marca1;Origem6;Objetivo2;;;19381012;;14259,28257;14560,02449;1,021090957
94;2022;T1;Marca1;Origem6;Objetivo8;;;231714;;485,3559633;216,8135076;0,446710299
95;2022;T1;Marca2;Origem4;Objetivo2;;11554972;23079004;78942334;70279,01014;159088,9641;2,26367679
96;2022;T1;Marca2;Origem4;Objetivo6;;;65820978;;30416,57594;43402,71845;1,426942945
97;2022;T1;Marca2;Origem4;Objetivo9;;;7148766;;27240,43853;53630,25159;1,968773429
98;2022;T1;Marca2;Origem5;Objetivo2;;;129942710;;127065,0349;207507,2895;1,633079389
99;2022;T1;Marca2;Origem5;Objetivo6;;;39274369;;23547,59164;37213,5238;1,58035371
100;2022;T1;Marca2;Origem5;Objetivo8;;;68829601;;94918,2789;143843,2526;1,515443119
101;2022;T1;Marca2;Origem1;Objetivo4;;169564;31158623;;21891,0144;29001,26533;1,324802259
102;2022;T1;Marca2;Origem1;Objetivo10;;23334696;102777464;;74459,85084;132443,5208;1,778723961
103;2022;T1;Marca2;Origem1;Objetivo11;;1053736;1617055;;5723,470111;7829,530287;1,367969105
104;2022;T1;Marca2;Origem1;Objetivo5;;1255999;;;1107,058131;1329,423127;1,200861174
105;2022;T1;Marca2;Origem1;Objetivo6;;58588585;187128282;;195402,4996;245389,3075;1,255814578
106;2022;T1;Marca2;Origem1;Objetivo8;;2173640;644082;;2725,122476;2188,580997;0,803112894
107;2022;T1;Marca2;Origem2;Objetivo4;;6148381;8785574;;12787,12872;14659,19503;1,146402398
108;2022;T1;Marca2;Origem2;Objetivo10;;36606522;234439695;;119876,0729;282268,7287;2,354671135
109;2022;T1;Marca2;Origem2;Objetivo11;;449527;1262289;;3318,648422;3219,812272;0,970217951
110;2022;T1;Marca2;Origem2;Objetivo5;;2833450;;;1761,437282;2252,880951;1,279001514
111;2022;T1;Marca2;Origem2;Objetivo6;;59452237;208644977;;177074,5574;279262,321;1,577088912
112;2022;T1;Marca2;Origem2;Objetivo8;;3597764;13020251;;11788,63899;16407,71334;1,391824226
113;2022;T1;Marca2;Origem3;Objetivo7;;;4354298;;8560,198868;15232,61982;1,77947032
114;2022;T1;Marca2;Origem3;Objetivo6;;;272917;;359,2917431;1163,551223;3,238458009
115;2022;T1;Marca2;Origem3;Objetivo2;;;9828449;;5991,781651;27292,82923;4,555044029
116;2022;T1;Marca2;Origem3;Objetivo8;;;41059579;;57526,7156;146091,35;2,539539212
117;2022;T1;Marca3;Origem4;Objetivo2;;;20411259;;25898,09174;32160,55203;1,24181165
118;2022;T1;Marca3;Origem4;Objetivo6;;;42364106;;144428,1095;66286,81032;0,45896059
119;2022;T1;Marca3;Origem4;Objetivo9;;;29732894;;65293,96147;46847,98152;0,717493325
120;2022;T1;Marca3;Origem5;Objetivo2;;;270631244;;262373,3725;172264,9626;0,656564197
121;2022;T1;Marca3;Origem5;Objetivo6;;;268619812;;345204,4816;283849,466;0,822264719
122;2022;T1;Marca3;Origem5;Objetivo12;;;91159762;;25938,48807;14011,84062;0,540194964
123;2022;T1;Marca3;Origem5;Objetivo8;;;66617840;;128275,8165;42404,26768;0,330571021
124;2022;T1;Marca3;Origem1;Objetivo13;;16674727;36592105;;54121,22622;53727,55747;0,992726167
125;2022;T1;Marca3;Origem1;Objetivo4;;;61012425;;71405,42404;73605,11937;1,030805718
126;2022;T1;Marca3;Origem1;Objetivo5;;;3215325;;4058,97697;4565,161018;1,124707297
127;2022;T1;Marca3;Origem1;Objetivo6;;6220740;82337767;;30418,25595;85778,46387;2,819966536
128;2022;T1;Marca3;Origem1;Objetivo8;;3590073;6689031;;14233,22444;15807,06681;1,110575251
129;2022;T1;Marca3;Origem2;Objetivo13;;1991403;1446845;;2184,89485;2747,943034;1,257700357
130;2022;T1;Marca3;Origem2;Objetivo4;;;2791925;;2067,317233;1493,736503;0,722548276
131;2022;T1;Marca3;Origem2;Objetivo5;;1215054;3301301;;3872,966149;5080,038154;1,311666035
132;2022;T1;Marca3;Origem2;Objetivo6;;15169216;261193020;;72841,02106;159231,3896;2,186012596
133;2022;T1;Marca3;Origem2;Objetivo8;;598839;2138043;;1169,406741;2298,570859;1,965587147
134;2022;T1;Marca3;Origem3;Objetivo2;;;2011617;;5293,680915;1798,145975;0,339677817
135;2022;T1;Marca3;Origem3;Objetivo7;;;21518298;;31300,77505;14183,78443;0,453144831
136;2022;T1;Marca3;Origem3;Objetivo6;;;19456875;;26575,62827;17628,43685;0,663330954
137;2022;T1;Marca3;Origem3;Objetivo9;;;127652410;;161914,2194;95384,67037;0,589106199
138;2022;T1;Marca3;Origem6;Objetivo2;;;12593893;;4640,089908;12577,20527;2,710552063
139;2022;T1;Marca4;Origem4;Objetivo2;;37989709;;42218065;20254,03325;45438,53873;2,243431625
140;2022;T1;Marca4;Origem4;Objetivo14;;;74378;;1435,741284;763,8345404;0,532014053
141;2022;T1;Marca4;Origem4;Objetivo8;;;13207121;;2361,247706;1424,321517;0,603207157
142;2022;T1;Marca4;Origem5;Objetivo6;;;53934364;;22720,14679;30581,45386;1,346005998
