BRAND;IMPRESSIONS;SPEND;DATE;CHANNEL;DUMMY_BRAND;DUMMY_CHANNEL
B09;7168971;15596;7;A;9;1
B09;2789490;20723;8;A;9;1
B09;0;0;9;A;9;1
B09;30894389;219365;10;A;9;1
B09;8790255;46753;11;A;9;1
B09;4657612;47182;12;A;9;1
B09;0;0;5;B;9;2
B09;0;0;6;B;9;2
B09;45327696;172918;7;B;9;2
B09;75575414;767199;8;B;9;2
B09;25426066;240343;9;B;9;2
B09;7726219;97122;10;B;9;2
B09;6977267;58689;11;B;9;2
B09;12036895;56259;12;B;9;2
