Year;Documents
1978;3
1979;1
1980;0
1981;0
1982;0
1983;2
1984;0
1985;4
1986;2
1987;3
1988;5
1989;0
1990;3
1991;0
1992;8
1993;5
1994;5
1995;9
1996;7
1997;2
1998;6
1999;8
2000;6
2001;7
2002;4
2003;5
2004;9
2005;15
2006;16
2007;23
2008;23
2009;32
2010;47
2011;40
2012;48
2013;62
2014;68
2015;89
2016;118
2017;170
2018;160
2019;236
2020;325
