Year;Documents
1986;1
1987;0
1988;1
1989;1
1990;3
1991;13
1992;18
1993;14
1994;39
1995;31
1996;55
1997;73
1998;106
1999;108
2000;112
2001;158
2002;166
2003;262
2004;256
2005;322
2006;430
2007;462
2008;506
2009;526
2010;690
2011;636
2012;591
2013;709
2014;618
2015;648
2016;720
2017;668
2018;643
2019;726
2020;739
