Year ;Documents 
1982;3
1983;1
1984;0
1985;0
1986;1
1987;1
1988;7
1989;3
1990;5
1991;14
1992;8
1993;24
1994;40
1995;31
1996;46
1997;43
1998;77
1999;102
2000;141
2001;133
2002;162
2003;215
2004;199
2005;250
2006;370
2007;461
2008;598
2009;715
2010;770
2011;913
2012;1037
2013;1243
2014;1423
2015;1657
2016;1925
2017;2182
2018;2830
2019;3465
2020;4196
