DATA;MARCA;ORIGEM;LL;P1;P2;P3;ROI
2022T1;Marca2;Origem5;0;0;129942710;0;1,633079389
2022T1;Marca2;Origem5;0;0;39274369;0;1,58035371
2022T1;Marca2;Origem5;0;0;68829601;0;1,515443119
2022T1;Marca2;Origem1;0;169564;31158623;0;1,324802259
2022T1;Marca2;Origem1;0;23334696;102777464;0;1,778723961
2022T1;Marca2;Origem1;0;1053736;1617055;0;1,367969105
2022T1;Marca2;Origem1;0;1255999;0;0;1,200861174
2022T1;Marca2;Origem1;0;58588585;187128282;0;1,255814578
2022T1;Marca2;Origem1;0;2173640;644082;0;0
2022T1;Marca2;Origem2;0;6148381;8785574;0;1,146402398
2022T1;Marca2;Origem2;0;36606522;234439695;0;2,354671135
2022T1;Marca2;Origem2;0;449527;1262289;0;0
2022T1;Marca2;Origem2;0;2833450;0;0;1,279001514
2022T1;Marca2;Origem2;0;59452237;208644977;0;1,577088912
2022T1;Marca2;Origem2;0;3597764;13020251;0;1,391824226
2022T1;Marca2;Origem3;0;0;4354298;0;1,77947032
2022T1;Marca2;Origem3;0;0;272917;0;3,238458009
2022T1;Marca2;Origem3;0;0;9828449;0;4,555044029
2022T1;Marca2;Origem3;0;0;41059579;0;2,539539212
2022T1;Marca3;Origem4;0;0;20411259;0;1,24181165
2022T1;Marca3;Origem4;0;0;42364106;0;0
2022T1;Marca3;Origem4;0;0;29732894;0;0
2022T1;Marca3;Origem5;0;0;270631244;0;0
2022T1;Marca3;Origem5;0;0;268619812;0;0
2022T1;Marca3;Origem5;0;0;91159762;0;0
2022T1;Marca3;Origem5;0;0;66617840;0;0
2022T1;Marca3;Origem1;0;16674727;36592105;0;0
2022T1;Marca3;Origem1;0;0;61012425;0;1,030805718
2022T1;Marca3;Origem1;0;0;3215325;0;1,124707297
2022T1;Marca3;Origem1;0;6220740;82337767;0;2,819966536
2022T1;Marca3;Origem1;0;3590073;6689031;0;1,110575251
2022T1;Marca3;Origem2;0;1991403;1446845;0;1,257700357
2022T1;Marca3;Origem2;0;0;2791925;0;0
2022T1;Marca3;Origem2;0;1215054;3301301;0;1,311666035
2022T1;Marca3;Origem2;0;15169216;261193020;0;2,186012596
2022T1;Marca3;Origem2;0;598839;2138043;0;1,965587147
2022T1;Marca3;Origem3;0;0;2011617;0;0
2022T1;Marca3;Origem3;0;0;21518298;0;0
2022T1;Marca3;Origem3;0;0;19456875;0;0
2022T1;Marca3;Origem3;0;0;127652410;0;0
2022T1;Marca3;Origem6;0;0;12593893;0;2,710552063
2022T1;Marca4;Origem4;0;37989709;0;42218065;2,243431625
2022T1;Marca4;Origem4;0;0;74378;0;0
2022T1;Marca4;Origem4;0;0;13207121;0;0
2022T1;Marca4;Origem5;0;0;53934364;0;1,346005998
2022T1;Marca4;Origem1;0;0;985551;0;0
2022T1;Marca4;Origem1;10122377;0;0;0;1,234923764
2022T1;Marca4;Origem1;48579378;103410;190789340;0;1,68828251
2022T1;Marca4;Origem1;18458594;0;65546289;0;1,50685706
2022T1;Marca4;Origem2;0;0;1269875;0;0
2022T1;Marca4;Origem2;1245126;0;0;0;2,0526812
2022T1;Marca4;Origem2;61356937;838383;179219417;0;2,409688696
2022T1;Marca4;Origem2;2067471;0;6633172;0;3,648428671
2022T1;Marca4;Origem6;0;0;6332736;0;4,783802793
2022T1;Marca5;Origem4;2685110;0;0;2638708;2,053164822
2022T1;Marca5;Origem4;0;0;115145;0;4,19247209
2022T1;Marca5;Origem5;0;0;15781066;3504372;1,107626601
2022T1;Marca5;Origem5;0;0;0;53541,96;1,293320672
2022T1;Marca5;Origem5;0;0;83959205;0;1,847951737
2022T1;Marca5;Origem1;0;0;1090083;0;0
2022T1;Marca5;Origem1;2495652;4213591;10058525;0;1,121323121
2022T1;Marca5;Origem1;661779;757376;852347;0;0
2022T1;Marca5;Origem1;8331777;1806913;22651404;0;1,485398334
2022T1;Marca5;Origem2;5362;860126;108741;0;1,517059485
2022T1;Marca5;Origem2;0;560157;702890;0;0
2022T1;Marca5;Origem2;11114681;3419661;34103212;0;1,427712249
2022T1;Marca5;Origem3;0;0;1736240;0;1,563875315
